race,gender,rel,cond,phq8_total
White,Cisgender Man,Partnered,base_low,11
White,Cisgender Man,Partnered,base_high,2
White,Cisgender Man,Partnered,low_from_high_5L,8
White,Cisgender Man,Partnered,low_from_high_L21,6
White,Cisgender Man,Partnered,low_from_high_L24,11
White,Cisgender Man,Partnered,low_from_high_L27,11
White,Cisgender Man,Partnered,low_from_high_L30,11
White,Cisgender Man,Partnered,low_from_high_L33,11
White,Cisgender Man,Single,base_low,11
White,Cisgender Man,Single,base_high,2
White,Cisgender Man,Single,low_from_high_5L,7
White,Cisgender Man,Single,low_from_high_L21,7
White,Cisgender Man,Single,low_from_high_L24,11
White,Cisgender Man,Single,low_from_high_L27,11
White,Cisgender Man,Single,low_from_high_L30,11
White,Cisgender Man,Single,low_from_high_L33,11
